Name,Organization,Role,Location,Platform,URL,Contact Date,Contact Type,Project Shared,Response,Follow-up Date,Relationship Stage,Opportunity,Notes
Lead Data Engineer,NBN23,Head of Data / InGame,Valencia / Madrid,LinkedIn,https://nbn23.com,2026-08-19,LinkedIn Message,GitHub Repo (DuckDB/QA),PENDING,2026-08-26,IDENTIFIED,Junior Sports Data Analyst,Empresa especializada en baloncesto y actas digitales FEB.
Sports Data Lead,Driblab,Head of Analytics,Madrid (Céntrico),LinkedIn,https://driblab.com,2026-08-19,LinkedIn Message,GitHub Repo + Quarto HTML,PENDING,2026-08-26,IDENTIFIED,Junior Data Analyst / Intern,Consultoría líder en analítica y scouting con sede en Madrid.
Analytics Team Lead,Hudl,Technical Manager,Barcelona / Remote,LinkedIn,https://hudl.com,2026-08-19,LinkedIn Connection,GitHub Repo,PENDING,2026-08-26,IDENTIFIED,Performance Analyst / QA Specialist,Plataforma global de vídeo y datos de rendimiento (Sportscode/Wyscout).
Sports Data Analyst,Sportradar,Senior Basketball Analyst,Sevilla / Madrid / Remote,LinkedIn,https://sportradar.com,2026-08-19,LinkedIn Message,GitHub Repo (ML/Calibration),PENDING,2026-08-26,IDENTIFIED,Basketball Data Analyst,Proveedor oficial de estadísticas para federaciones y ligas.
Scouting Data Lead,Metrica Sports,Lead Sports Scientist,Barcelona / Remote,LinkedIn,https://metrica-sports.com,2026-08-19,LinkedIn Message,Brief Prepartido + Video Layer,PENDING,2026-08-26,IDENTIFIED,Sports Analytics Specialist,Tecnología de análisis de vídeo y tracking de atletas.
Coordinador Técnico,AEEB,Responsable Formación,Madrid (Gran Vía),Email,https://aeeb.es,2026-08-19,Email Profesional,Briefs Prepartido de 1.5 págs,PENDING,2026-08-26,IDENTIFIED,Artículos / Networking,Asociación Española de Entrenadores de Baloncesto.
Cuerpo Técnico,Movistar Estudiantes,Assistant Coach / Scout,Madrid (Magariños),LinkedIn,https://movistarestudiantes.com,2026-08-19,LinkedIn Connection,Briefs Prepartido 1ª FEB,PENDING,2026-08-26,IDENTIFIED,Soporte Analítico Staff,Club profesional histórico de Madrid en Primera FEB.
Responsable Scouting,Baloncesto Fuenlabrada,Video Coordinator / Ayudante,Fuenlabrada,Email,https://baloncestofuenlabrada.com,2026-08-19,Email Institucional,Brief Prepartido de 1.5 págs,PENDING,2026-08-26,IDENTIFIED,Soporte Prepartido,Pabellón Fernando Martín.
Cuerpo Técnico LF,Innova-tsn Leganés,Entrenador Ayudante,Leganés,Email,https://cbleganes.es,2026-08-19,Email Institucional,Resumen de Tiro y Four Factors,PENDING,2026-08-26,IDENTIFIED,Scouting Cuantitativo,Pabellón Europa (Liga Femenina Endesa).
Dirección Metodológica,Zentro Basket Madrid,Responsable de Metodología,Madrid,LinkedIn,https://zentrobasketmadrid.com,2026-08-19,LinkedIn Connection,Modelo de 6 Arquetipos,PENDING,2026-08-26,IDENTIFIED,Metodología / Métricas,Academia de formación profesional y desarrollo individual.
