name,organization,role,city,competition,source,contact_method,date_found,first_contact,response,relationship_status,last_interaction,next_action,notes
Dirección Técnica,Movistar Estudiantes,Director Deportivo / Secretaría Técnica,Madrid,Primera FEB / LF Endesa,Web Oficial,info@clubestudiantes.com,2026-08-19,,PENDING,IDENTIFIED,,Personalizar mensaje de presentación para Dirección Técnica,Sede en Magariños. Gran estructura de cantera y primer equipo.
Cuerpo Técnico LF Endesa,Innova-tsn Leganés,Entrenador Ayudante / Preparador,Leganés,Liga Femenina Endesa,Web Oficial,club@cbleganes.es,2026-08-19,,PENDING,IDENTIFIED,,Enviar propuesta de brief de tiro prepartido,Pabellón Europa. Excelente oportunidad de soporte táctico.
Secretaría Técnica,Baloncesto Fuenlabrada,Director Deportivo / Scouting,Fuenlabrada,Primera FEB,Web Oficial,fuenla@baloncestofuenlabrada.com,2026-08-19,,PENDING,IDENTIFIED,,Preparar mensaje enfocado en scouting de rivales 1ª FEB,Pabellón Fernando Martín.
Dirección Técnica Baloncesto,Real Canoe N.C.,Responsable de Sección / Entrenador,Madrid,Tercera FEB / LF2,Web Oficial,baloncesto@realcanoe.es,2026-08-19,,PENDING,IDENTIFIED,,Asistir a partido en Pez Volador y contacto previo,Instalaciones céntricas en Madrid. Trato muy cercano.
Coordinación Técnica,Club Baloncesto Alcobendas,Director Técnico / Cantera,Alcobendas,Tercera FEB / LF2,Web Oficial,cbalcobendas@cbalcobendas.es,2026-08-19,,PENDING,IDENTIFIED,,Presentar modelo de arquetipos para cantera y senior,Pabellón Antela Parada. Estructura Fundal.
Dirección Metodológica,Zentro Basket Madrid,Responsable de Metodología / Scouting,Madrid,Tercera FEB / Formación Pro,Web Oficial,info@zentrobasketmadrid.com,2026-08-19,,PENDING,IDENTIFIED,,Contactar por LinkedIn enfocado en métricas avanzadas,Academia enfocada en desarrollo individual y tecnología.
Dirección Deportiva,Spanish Basketball Academy (SBA),Director de Operaciones / Coach,Alcorcón,Segunda FEB / EBA,Web Oficial,info@sba.com,2026-08-19,,PENDING,IDENTIFIED,,Enviar portfolio técnico (DuckDB/ML),Academia con perfil internacional U18-U22.
Dirección Técnica,Baloncesto Torrelodones (BT),Director Técnico de Cantera,Torrelodones,1ª Nacional / Cantera Élite,Web Oficial,info@btorrelodones.com,2026-08-19,,PENDING,IDENTIFIED,,Presentar briefs prepartido para categorías júnior/senior,Club de referencia en desarrollo de talento joven.
Secretaría General,Asociación Española de Entrenadores (AEEB),Responsable de Formación,Madrid,Institucional,Web Oficial,aeeb@aeeb.es,2026-08-19,,PENDING,IDENTIFIED,,Consultar calendario de próximos clínics presenciales,Sede en Gran Vía 69. Clave para networking con entrenadores.
Escuela de Entrenadores,Federación de Baloncesto de Madrid (FBM),Coordinador de Formación,Madrid,Institucional,Web Oficial,fbm@fbm.es,2026-08-19,,PENDING,IDENTIFIED,,Revisar jornadas técnicas y cursos de nivel 1/2,Federación autonómica que aglutina a todos los clubes.
