claim_id,claim_text,source_file,source_dataset,calculation_method,reproducibility_status,statistical_validity,temporal_validity,risk_level,recommended_action
CLM-001,"Certified warehouse contains 1,145 games across 18 tournaments (2005-2024).",reports/mvp1_final_report.md,data/03_validated/basketball_analytics.duckdb,SELECT COUNT(*) FROM fact_game,REPRODUCIBLE,VALID,VALID,GREEN,"Accurate and verified across DuckDB relational tables."
CLM-002,"Certified warehouse contains 2,290 team-game observations.",reports/mvp1_final_report.md,data/04_analytics/mart_team_game_analytics.parquet,Count rows in team game analytics mart (1145 * 2),REPRODUCIBLE,VALID,VALID,GREEN,"Verified exact 2x game cardinality."
CLM-003,"Certified warehouse contains 27,353 player-game rows and 2,124 canonical players.",reports/mvp3_player_analytics_report.md,data/03_validated/basketball_analytics.duckdb,Count distinct canonical player IDs and player-game rows,REPRODUCIBLE,VALID,VALID,GREEN,"Deterministic entity resolution verified."
CLM-004,"Total player-tournament campaigns: 4,350; Qualified (>=40 minutes): 3,767.",reports/mvp3_player_analytics_report.md,data/04_analytics/mart_player_roles.parquet,Count total campaigns vs minutes >= 40 filter,REPRODUCIBLE,VALID,VALID,GREEN,"Verified minimum sample filter threshold."
CLM-005,"K-Means++ (K=6) functional archetypes explain distinct tactical roles.",reports/mvp3_player_roles_report.md,data/04_analytics/mart_player_roles.parquet,PCA dimensionality reduction + K-Means++ clustering,REPRODUCIBLE,EXPLORATORY,VALID,YELLOW,"Qualify as 'statistical player clusters with functional interpretation' rather than immutable ground truth."
CLM-006,"Post-clustering pairwise ANOVA across archetypes yields p < 0.001 across all 21 pairs.",reports/mvp6_statistical_inference_report.md,data/04_analytics/mvp6_bootstrap_results.csv,Pairwise Welch t-tests with Benjamini-Hochberg FDR,REPRODUCIBLE,CIRCULAR_RISK,VALID,YELLOW,"Explicitly disclose post-clustering inference / double-dipping risk since clustering features overlap test features."
CLM-007,"Double-coded qualitative video sample achieves Cohen's Kappa = 1.00 for action type and 0.80 for quality score.",reports/mvp5_video_coding_protocol.md,data/04_analytics/mvp5_video_observations.csv,Cohen's Kappa on 420 double-coded possessions,REPRODUCIBLE,VALID_FOR_SAMPLE,VALID,YELLOW,"Qualify that N=420 possessions from 36 games is exploratory evidence, not exhaustive full-tournament tracking."
CLM-008,"17-Fold Temporal Walk-Forward evaluation evaluates 1,105 out-of-sample matches.",reports/mvp6_model_validation_report.md,data/04_analytics/mvp6_model_predictions.csv,Expanding window walk-forward folds 1 through 17,REPRODUCIBLE,VALID,STRICTLY_VALID,GREEN,"Temporal barrier verified: Fold N trained strictly on Folds 0..(N-1)."
CLM-009,"Calibrated LightGBM achieves Brier Score = 0.1967 and ECE = 0.0314.",reports/mvp6_model_validation_report.md,data/04_analytics/mvp6_model_benchmark.csv,Brier score and 10-bin Expected Calibration Error on OOS preds,REPRODUCIBLE,VALID,VALID,GREEN,"Out-of-sample probability calibration verified."
CLM-010,"LightGBM Regressor achieves Out-of-Sample MAE = 11.74 points (R2 = 0.2789).",reports/mvp6_model_validation_report.md,data/04_analytics/mvp6_model_benchmark.csv,Mean Absolute Error on point differential predictions,REPRODUCIBLE,VALID,VALID,GREEN,"Benchmark numbers match exact CSV outputs."
CLM-011,"Monte Carlo tournament simulation achieves 72.2% Top-1 Champion hit rate (13/18 tournaments).",reports/mvp7_tournament_simulation_report.md,data/04_analytics/mvp7_tournament_simulations.parquet,10000 runs per tournament; count where actual champ is #1 simulated title prob,REPRODUCIBLE,DESCRIPTIVE_N18,VALID,YELLOW,"Downgrade language: 13/18 is a retrospective descriptive hit rate on N=18 tournaments, not a guarantee of future bracket precision."
CLM-012,"Monte Carlo tournament simulation achieves 100.0% Top-4 Champion hit rate (18/18 tournaments).",reports/mvp7_tournament_simulation_report.md,data/04_analytics/mvp7_tournament_simulations.parquet,Count where actual champ is within top 4 simulated contenders,REPRODUCIBLE,DESCRIPTIVE_N18,VALID,YELLOW,"Clarify that capturing the champion within the top 4 contenders reflects historical power stratification in international basketball."
CLM-013,"MVP-8 Decision System achieves 80.0% exact agreement (4/5) with historical outcomes vs 60.0% (3/5) for naive PPG.",reports/mvp8_decision_validation_report.md,data/04_analytics/mvp8_decision_evaluations.csv,Evaluation across 5 reconstructed historical decisions,REPRODUCIBLE,UNDERPOWERED_N5,VALID,YELLOW,"Explicitly state that N=5 is an illustrative qualitative case study, not a statistically significant superiority test."
CLM-014,"Automated test suite contains 154 tests passing with 100% pass rate in ~114s.",reports/mvp10_final_report.md,tests/,pytest tests -q across 16 test modules,REPRODUCIBLE,VALID,VALID,GREEN,"Verified 154/154 passed in 114.33s."
CLM-015,"Project covers 2005-2025 timeline.",reports/presentation/mvp9_analyst_portfolio_presentation.md,data/03_validated/basketball_analytics.duckdb,Tournament range (EuroBasket 2005 to Paris 2024 / EuroBasket 2025 cycle),REPRODUCIBLE,VALID_WITH_NOTE,VALID,YELLOW,"Clarify that data spans 2005-2024 completed tournaments; 2025 is the current tournament cycle."
